Household_ID,No.CatsInHousehold,Duration,Treatment,PreyTaxon,No.Prey,Year,Month
14,2,14.5,No_BBS,Mammals,1,2020,May
14,2,14.5,No_BBS,Reptiles,0,2020,May
15,1,14.0,BBS,Birds,1,2020,May
15,1,14.0,BBS,Insects,0,2020,May
15,1,14.0,BBS,Mammals,18,2020,May
15,1,14.0,BBS,Reptiles,0,2020,May
15,1,14.0,BBS_Bell,Birds,1,2020,May
15,1,14.0,BBS_Bell,Insects,0,2020,May
15,1,14.0,BBS_Bell,Mammals,7,2020,May
15,1,14.0,BBS_Bell,Reptiles,0,2020,May
15,1,14.0,No_BBS,Birds,1,2020,May
15,1,14.0,No_BBS,Insects,0,2020,May
15,1,14.0,No_BBS,Mammals,2,2020,May
15,1,14.0,No_BBS,Reptiles,0,2020,May
16,2,14.0,BBS,Birds,1,2020,May
16,2,14.0,BBS,Insects,0,2020,May
16,2,14.0,BBS,Mammals,0,2020,May
16,2,14.0,BBS,Reptiles,0,2020,May
16,2,14.0,BBS_Bell,Birds,1,2020,May
16,2,14.0,BBS_Bell,Insects,0,2020,May
16,2,14.0,BBS_Bell,Mammals,1,2020,May
16,2,14.0,BBS_Bell,Reptiles,0,2020,May
16,2,14.0,No_BBS,Birds,1,2020,May
16,2,14.0,No_BBS,Insects,1,2020,May
16,2,14.0,No_BBS,Mammals,1,2020,May
16,2,14.0,No_BBS,Reptiles,0,2020,May
17,1,14.0,BBS,Birds,0,2020,May
17,1,14.0,BBS,Insects,0,2020,May
17,1,14.0,BBS,Mammals,0,2020,May
17,1,14.0,BBS,Reptiles,2,2020,May
17,1,14.0,No_BBS,Birds,0,2020,May
17,1,14.0,No_BBS,Insects,0,2020,May
17,1,14.0,No_BBS,Mammals,0,2020,May
17,1,14.0,No_BBS,Reptiles,2,2020,May
18,1,14.0,BBS,Birds,0,2020,May
18,1,14.0,BBS,Insects,0,2020,May
18,1,14.0,BBS,Mammals,2,2020,May
18,1,14.0,BBS,Reptiles,0,2020,May
18,1,14.0,No_BBS,Birds,3,2020,May
18,1,14.0,No_BBS,Insects,0,2020,May
18,1,14.0,No_BBS,Mammals,0,2020,May
18,1,14.0,No_BBS,Reptiles,0,2020,May
19,1,14.0,BBS,Birds,0,2020,May
19,1,14.0,BBS,Insects,0,2020,May
19,1,14.0,BBS,Mammals,1,2020,May
19,1,14.0,BBS,Reptiles,2,2020,May
19,1,14.0,BBS_Bell,Birds,0,2020,May
19,1,14.0,BBS_Bell,Insects,0,2020,May
19,1,14.0,BBS_Bell,Mammals,0,2020,May
19,1,14.0,BBS_Bell,Reptiles,1,2020,May
19,1,14.0,No_BBS,Birds,0,2020,May
19,1,14.0,No_BBS,Insects,0,2020,May
19,1,14.0,No_BBS,Mammals,1,2020,May
19,1,14.0,No_BBS,Reptiles,1,2020,May
20,2,13.0,BBS,Birds,0,2020,June
20,2,13.0,BBS,Insects,0,2020,June
20,2,13.0,BBS,Mammals,0,2020,June
20,2,13.0,BBS,Reptiles,0,2020,June
20,2,14.0,BBS_Bell,Birds,0,2020,June
20,2,14.0,BBS_Bell,Insects,0,2020,June
20,2,14.0,BBS_Bell,Mammals,0,2020,June
20,2,14.0,BBS_Bell,Reptiles,0,2020,June
20,2,13.0,No_BBS,Birds,1,2020,June
20,2,13.0,No_BBS,Insects,0,2020,June
20,2,13.0,No_BBS,Mammals,1,2020,June
20,2,13.0,No_BBS,Reptiles,0,2020,June
21,1,13.0,BBS,Birds,0,2020,June
21,1,13.0,BBS,Insects,0,2020,June
21,1,13.0,BBS,Mammals,3,2020,June
21,1,13.0,BBS,Reptiles,0,2020,June
21,1,13.0,No_BBS,Birds,0,2020,June
21,1,13.0,No_BBS,Insects,0,2020,June
21,1,13.0,No_BBS,Mammals,6,2020,June
21,1,13.0,No_BBS,Reptiles,0,2020,June
22,1,14.0,BBS,Birds,0,2020,June
22,1,14.0,BBS,Insects,0,2020,June
22,1,14.0,BBS,Mammals,8,2020,June
22,1,14.0,BBS,Reptiles,0,2020,June
22,1,13.0,BBS_Bell,Birds,0,2020,June
22,1,13.0,BBS_Bell,Insects,0,2020,June
22,1,13.0,BBS_Bell,Mammals,1,2020,June
22,1,13.0,BBS_Bell,Reptiles,0,2020,June
22,1,13.0,No_BBS,Birds,1,2020,June
22,1,13.0,No_BBS,Insects,0,2020,June
22,1,13.0,No_BBS,Mammals,3,2020,June
22,1,13.0,No_BBS,Reptiles,0,2020,June
23,1,15.0,BBS,Birds,0,2020,June
23,1,15.0,BBS,Insects,0,2020,June
23,1,15.0,BBS,Mammals,2,2020,June
23,1,15.0,BBS,Reptiles,0,2020,June
23,1,14.0,No_BBS,Birds,0,2020,June
23,1,14.0,No_BBS,Insects,0,2020,June
23,1,14.0,No_BBS,Mammals,0,2020,June
23,1,14.0,No_BBS,Reptiles,0,2020,June
24,1,26.5,BBS,Birds,4,2020,May
24,1,26.5,BBS,Insects,1,2020,May
24,1,26.5,BBS,Mammals,1,2020,May
24,1,26.5,BBS,Reptiles,0,2020,May
24,1,26.0,BBS_Bell,Birds,2,2020,May
24,1,26.0,BBS_Bell,Insects,0,2020,May
24,1,26.0,BBS_Bell,Mammals,1,2020,May
24,1,26.0,BBS_Bell,Reptiles,1,2020,May
24,1,26.0,No_BBS,Birds,6,2020,May
24,1,26.0,No_BBS,Insects,0,2020,May
24,1,26.0,No_BBS,Mammals,4,2020,May
24,1,26.0,No_BBS,Reptiles,1,2020,May
25,1,14.0,BBS,Birds,2,2020,May
25,1,14.0,BBS,Insects,0,2020,May
25,1,14.0,BBS,Mammals,2,2020,May
25,1,14.0,BBS,Reptiles,0,2020,May
25,1,14.0,BBS_Bell,Birds,1,2020,May
25,1,14.0,BBS_Bell,Insects,0,2020,May
25,1,14.0,BBS_Bell,Mammals,1,2020,May
25,1,14.0,BBS_Bell,Reptiles,0,2020,May
25,1,14.0,No_BBS,Birds,1,2020,May
25,1,14.0,No_BBS,Insects,0,2020,May
25,1,14.0,No_BBS,Mammals,1,2020,May
25,1,14.0,No_BBS,Reptiles,0,2020,May
26,1,11.0,BBS,Birds,0,2020,June
26,1,11.0,BBS,Insects,0,2020,June
26,1,11.0,BBS,Mammals,2,2020,June
26,1,11.0,BBS,Reptiles,0,2020,June
26,1,14.0,No_BBS,Birds,0,2020,June
26,1,14.0,No_BBS,Insects,2,2020,June
26,1,14.0,No_BBS,Mammals,3,2020,June
26,1,14.0,No_BBS,Reptiles,1,2020,June
