Household_ID,No.CatsInHousehold,Year:Month,Duration,Treatment,PreyTaxon,No.Prey
10,2,2020:May,15,BBS_Bell,Insects,0
10,2,2020:May,15,BBS_Bell,Mammals,0
10,2,2020:May,15,BBS_Bell,Reptiles,0
10,2,2020:May,14,No_BBS,Birds,1
10,2,2020:May,14,No_BBS,Insects,0
10,2,2020:May,14,No_BBS,Mammals,0
10,2,2020:May,14,No_BBS,Reptiles,0
11,1,2020:May,14,BBS,Birds,0
11,1,2020:May,14,BBS,Insects,0
11,1,2020:May,14,BBS,Mammals,7
11,1,2020:May,14,BBS,Reptiles,1
11,1,2020:May,14,BBS_Bell,Birds,1
11,1,2020:May,14,BBS_Bell,Insects,0
11,1,2020:May,14,BBS_Bell,Mammals,1
11,1,2020:May,14,BBS_Bell,Reptiles,0
11,1,2020:May,14,No_BBS,Birds,0
11,1,2020:May,14,No_BBS,Insects,0
11,1,2020:May,14,No_BBS,Mammals,3
11,1,2020:May,14,No_BBS,Reptiles,0
12,1,2020:May,14,BBS,Birds,0
12,1,2020:May,14,BBS,Insects,0
12,1,2020:May,14,BBS,Mammals,2
12,1,2020:May,14,BBS,Reptiles,0
12,1,2020:May,14,BBS_Bell,Birds,0
12,1,2020:May,14,BBS_Bell,Insects,0
12,1,2020:May,14,BBS_Bell,Mammals,2
12,1,2020:May,14,BBS_Bell,Reptiles,0
12,1,2020:May,14,No_BBS,Birds,1
12,1,2020:May,14,No_BBS,Insects,0
12,1,2020:May,14,No_BBS,Mammals,2
12,1,2020:May,14,No_BBS,Reptiles,3
13,2,2020:May,13,BBS,Birds,0
13,2,2020:May,13,BBS,Insects,0
13,2,2020:May,13,BBS,Mammals,8
13,2,2020:May,13,BBS,Reptiles,0
13,2,2020:May,13,BBS_Bell,Birds,2
13,2,2020:May,13,BBS_Bell,Insects,0
13,2,2020:May,13,BBS_Bell,Mammals,4
13,2,2020:May,13,BBS_Bell,Reptiles,0
13,2,2020:May,13,No_BBS,Birds,1
13,2,2020:May,13,No_BBS,Insects,0
13,2,2020:May,13,No_BBS,Mammals,18
13,2,2020:May,13,No_BBS,Reptiles,0
14,2,2020:May,14,BBS,Birds,2
14,2,2020:May,14,BBS,Insects,4
14,2,2020:May,14,BBS,Mammals,1
14,2,2020:May,14,BBS,Reptiles,0
14,2,2020:May,14,BBS_Bell,Birds,2
14,2,2020:May,14,BBS_Bell,Insects,2
14,2,2020:May,14,BBS_Bell,Mammals,0
14,2,2020:May,14,BBS_Bell,Reptiles,0
14,2,2020:May,14.5,No_BBS,Birds,4
14,2,2020:May,14.5,No_BBS,Insects,0
14,2,2020:May,14.5,No_BBS,Mammals,1
14,2,2020:May,14.5,No_BBS,Reptiles,0
15,1,2020:May,14,BBS,Birds,1
15,1,2020:May,14,BBS,Insects,0
15,1,2020:May,14,BBS,Mammals,18
15,1,2020:May,14,BBS,Reptiles,0
15,1,2020:May,14,BBS_Bell,Birds,1
15,1,2020:May,14,BBS_Bell,Insects,0
15,1,2020:May,14,BBS_Bell,Mammals,7
15,1,2020:May,14,BBS_Bell,Reptiles,0
15,1,2020:May,14,No_BBS,Birds,1
15,1,2020:May,14,No_BBS,Insects,0
15,1,2020:May,14,No_BBS,Mammals,2
15,1,2020:May,14,No_BBS,Reptiles,0
16,2,2020:May,14,BBS,Birds,1
16,2,2020:May,14,BBS,Insects,0
16,2,2020:May,14,BBS,Mammals,0
16,2,2020:May,14,BBS,Reptiles,0
16,2,2020:May,14,BBS_Bell,Birds,1
16,2,2020:May,14,BBS_Bell,Insects,0
16,2,2020:May,14,BBS_Bell,Mammals,1
16,2,2020:May,14,BBS_Bell,Reptiles,0
16,2,2020:May,14,No_BBS,Birds,1
16,2,2020:May,14,No_BBS,Insects,1
16,2,2020:May,14,No_BBS,Mammals,1
16,2,2020:May,14,No_BBS,Reptiles,0
17,1,2020:May,14,BBS,Birds,0
17,1,2020:May,14,BBS,Insects,0
17,1,2020:May,14,BBS,Mammals,0
17,1,2020:May,14,BBS,Reptiles,2
17,1,2020:May,14,No_BBS,Birds,0
17,1,2020:May,14,No_BBS,Insects,0
17,1,2020:May,14,No_BBS,Mammals,0
17,1,2020:May,14,No_BBS,Reptiles,2
18,1,2020:May,14,BBS,Birds,0
18,1,2020:May,14,BBS,Insects,0
18,1,2020:May,14,BBS,Mammals,2
18,1,2020:May,14,BBS,Reptiles,0
18,1,2020:May,14,No_BBS,Birds,3
18,1,2020:May,14,No_BBS,Insects,0
18,1,2020:May,14,No_BBS,Mammals,0
18,1,2020:May,14,No_BBS,Reptiles,0
19,1,2020:May,14,BBS,Birds,0
19,1,2020:May,14,BBS,Insects,0
19,1,2020:May,14,BBS,Mammals,1
19,1,2020:May,14,BBS,Reptiles,2
19,1,2020:May,14,BBS_Bell,Birds,0
19,1,2020:May,14,BBS_Bell,Insects,0
19,1,2020:May,14,BBS_Bell,Mammals,0
19,1,2020:May,14,BBS_Bell,Reptiles,1
19,1,2020:May,14,No_BBS,Birds,0
19,1,2020:May,14,No_BBS,Insects,0
19,1,2020:May,14,No_BBS,Mammals,1
19,1,2020:May,14,No_BBS,Reptiles,1
20,2,2020:June,13,BBS,Birds,0
20,2,2020:June,13,BBS,Insects,0
20,2,2020:June,13,BBS,Mammals,0
20,2,2020:June,13,BBS,Reptiles,0
20,2,2020:June,14,BBS_Bell,Birds,0
20,2,2020:June,14,BBS_Bell,Insects,0
20,2,2020:June,14,BBS_Bell,Mammals,0
20,2,2020:June,14,BBS_Bell,Reptiles,0
20,2,2020:June,13,No_BBS,Birds,1
20,2,2020:June,13,No_BBS,Insects,0
20,2,2020:June,13,No_BBS,Mammals,1
20,2,2020:June,13,No_BBS,Reptiles,0
21,1,2020:June,13,BBS,Birds,0
21,1,2020:June,13,BBS,Insects,0
21,1,2020:June,13,BBS,Mammals,3
21,1,2020:June,13,BBS,Reptiles,0
21,1,2020:June,13,No_BBS,Birds,0
21,1,2020:June,13,No_BBS,Insects,0
21,1,2020:June,13,No_BBS,Mammals,6
21,1,2020:June,13,No_BBS,Reptiles,0
22,1,2020:June,14,BBS,Birds,0
22,1,2020:June,14,BBS,Insects,0
22,1,2020:June,14,BBS,Mammals,8
22,1,2020:June,14,BBS,Reptiles,0
22,1,2020:June,13,BBS_Bell,Birds,0
22,1,2020:June,13,BBS_Bell,Insects,0
22,1,2020:June,13,BBS_Bell,Mammals,1
22,1,2020:June,13,BBS_Bell,Reptiles,0
22,1,2020:June,13,No_BBS,Birds,1
22,1,2020:June,13,No_BBS,Insects,0
22,1,2020:June,13,No_BBS,Mammals,3
22,1,2020:June,13,No_BBS,Reptiles,0
23,1,2020:June,15,BBS,Birds,0
23,1,2020:June,15,BBS,Insects,0
23,1,2020:June,15,BBS,Mammals,2
23,1,2020:June,15,BBS,Reptiles,0
23,1,2020:June,14,No_BBS,Birds,0
23,1,2020:June,14,No_BBS,Insects,0
23,1,2020:June,14,No_BBS,Mammals,0
23,1,2020:June,14,No_BBS,Reptiles,0
24,1,2020:May,26.5,BBS,Birds,4
24,1,2020:May,26.5,BBS,Insects,1
24,1,2020:May,26.5,BBS,Mammals,1
24,1,2020:May,26.5,BBS,Reptiles,0
24,1,2020:May,26,BBS_Bell,Birds,2
24,1,2020:May,26,BBS_Bell,Insects,0
24,1,2020:May,26,BBS_Bell,Mammals,1
24,1,2020:May,26,BBS_Bell,Reptiles,1
24,1,2020:May,26,No_BBS,Birds,6
24,1,2020:May,26,No_BBS,Insects,0
24,1,2020:May,26,No_BBS,Mammals,4
24,1,2020:May,26,No_BBS,Reptiles,1
25,1,2020:May,14,BBS,Birds,2
25,1,2020:May,14,BBS,Insects,0
25,1,2020:May,14,BBS,Mammals,2
25,1,2020:May,14,BBS,Reptiles,0
25,1,2020:May,14,BBS_Bell,Birds,1
25,1,2020:May,14,BBS_Bell,Insects,0
25,1,2020:May,14,BBS_Bell,Mammals,1
25,1,2020:May,14,BBS_Bell,Reptiles,0
25,1,2020:May,14,No_BBS,Birds,1
25,1,2020:May,14,No_BBS,Insects,0
25,1,2020:May,14,No_BBS,Mammals,1
25,1,2020:May,14,No_BBS,Reptiles,0
26,1,2020:June,11,BBS,Birds,0
26,1,2020:June,11,BBS,Insects,0
26,1,2020:June,11,BBS,Mammals,2
26,1,2020:June,11,BBS,Reptiles,0
26,1,2020:June,14,No_BBS,Birds,0
26,1,2020:June,14,No_BBS,Insects,2
26,1,2020:June,14,No_BBS,Mammals,3
26,1,2020:June,14,No_BBS,Reptiles,1
